제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
피아니스트 박기이 리사이틀,2025-04-08,2025-04-08,클래식,음악교육신문사,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=69956
소프라노 이결 독창회,2025-04-08,2025-04-08,성악,UNICO,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=71719
박하나 개인전,2025-04-08,2025-04-16,전시,박하나,대관,한가람디자인미술관제3전시실,https://www.sac.or.kr/site/main/show/show_view?SN=72761
DAF 2025,2025-04-08,2025-04-16,전시,마이아트예술기획연구소,대관,"한가람디자인미술관제1전시실,한가람디자인미술관제1전시실",https://www.sac.or.kr/site/main/show/show_view?SN=72863
2025 예술의전당 교향악축제 - 강남심포니오케스트라(4.8),2025-04-08,2025-04-08,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66265
2025 예술의전당 교향악축제 - KBS교향악단(4.6),2025-04-06,2025-04-06,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=66266
해설이 있는 김보라 피아노 독주회,2025-04-06,2025-04-06,독주,조인클래식,대관,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=70154
플로비아노 두번째 이야기,2025-04-06,2025-04-06,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=70457
솔루스 오브 서울 브라스 제6회 정기연주회,2025-04-06,2025-04-06,실내악,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=70314
김선민 피아노 독주회,2025-04-06,2025-04-06,클래식,이음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=69663
DAF 2025 - New Trend Art Martket -,2025-04-06,2025-04-16,전시,마이아트예술기획연구소,대관,한가람미술관제7전시실,https://www.sac.or.kr/site/main/show/show_view?SN=72862
연극 <랑데부>,2025-04-05,2025-05-11,연극,주식회사 더그레이트쇼,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=74452
태국 현대미술: 꿈과 사유,2025-04-05,2025-04-20,전시,한세예스24문화재단,대관,"한가람미술관제1전시실,한가람미술관제1전시실",https://www.sac.or.kr/site/main/show/show_view?SN=72099
